,FoodItems,NumberPurchased
166,preservation products,1
156,kitchen utensil,1
111,baby cosmetics,3
119,bags,4
164,make up remover,5
165,toilet cleaner,5
86,frozen chicken,5
148,rubbing alcohol,5
160,salad dressing,6
138,whisky,8
66,hair spray,9
142,liqueur,9
89,decalcifier,9
152,organic products,10
161,specialty vegetables,11
109,frozen fruits,11
146,cream,12
154,honey,13
140,cooking chocolate,15
163,ready soups,15
132,flower soil/fertilizer,16
150,cocoa drinks,16
162,pudding powder,17
101,cookware,17
104,bathroom cleaner,17
105,prosecco,19
85,soap,20
147,skin care,20
144,syrup,21
108,canned fruit,21
143,abrasive cleaner,22
149,nut snack,22
139,tidbits,22
126,organic sausage,22
93,potato products,23
159,tea,27
125,snack products,27
97,light bulbs,29
123,specialty fat,29
96,artif. sweetener,29
41,fish,29
131,kitchen towels,30
54,cleaner,31
145,ketchup,32
116,rum,32
129,dental care,33
92,nuts/prunes,33
155,jam,34
134,meat spreads,35
136,male cosmetics,37
110,brandy,38
112,spices,40
83,female sanitary products,40
151,softener,41
133,cereals,42
115,sauces,44
87,house keeping products,45
30,curd cheese,46
42,sparkling wine,46
46,popcorn,48
121,soups,48
158,rice,49
106,liver loaf,50
91,vinegar,51
107,zwieback,60
80,Instant food products,60
117,chocolate marshmallow,60
124,instant coffee,61
47,finished products,64
137,candles,66
62,liquor (appetizer),67
51,dog food,67
120,sweet spreads,69
157,flower (seeds),70
32,frozen potato products,72
78,specialty cheese,72
76,dish cleaner,73
84,cling film/bags,74
128,mayonnaise,75
67,photo/film,79
29,turkey,80
130,roll products ,82
98,canned vegetables,82
81,pet care,85
71,salt,89
90,frozen dessert,92
122,mustard,92
153,cake bar,93
53,condensed milk,98
88,spread cheese,100
94,frozen fish,102
60,liquor,103
141,seasonal products,106
100,canned fish,116
5,pot plants,118
45,pasta,121
77,baking powder,122
12,packaged fruit/vegetables,128
38,detergent,130
61,pickled vegetables,134
135,dishes,135
102,semi-finished bread,142
33,flour,146
40,processed cheese,152
127,soft cheese,152
31,red/blush wine,157
36,herbs,159
55,white wine,176
103,cat food,177
99,chewing gum,181
95,hygiene articles,208
14,specialty bar,210
75,sliced cheese,212
64,candy,219
39,grapes,220
58,hard cheese,220
72,oil,225
57,ice cream,227
27,misc. beverages,238
52,specialty chocolate,240
48,beverages,251
35,frozen meals,252
56,meat,254
28,ham,256
15,butter milk,263
34,sugar,265
118,long life bakery product,269
114,waffles,280
79,salty snack,283
65,onions,305
63,UHT-milk,323
20,hamburger meat,327
25,berries,327
113,napkins,335
50,dessert,356
13,chocolate,357
59,cream cheese ,358
82,white bread,362
9,chicken,422
74,frozen vegetables,425
26,coffee,476
69,margarine,491
44,curd,514
7,beef,516
11,fruit/vegetable juice,518
10,butter,534
68,domestic eggs,566
22,pork,566
19,brown bread,571
8,frankfurter,580
43,newspapers,596
73,whipped/sour cream,662
49,bottled beer,687
24,canned beer,717
70,shopping bags,731
2,pip fruit,744
23,pastry,785
6,citrus fruit,812
18,sausage,924
16,bottled water,933
0,tropical fruit,1032
21,root vegetables,1071
17,yogurt,1334
37,soda,1514
4,rolls/buns,1716
3,other vegetables,1898
1,whole milk,2502
