,MemberNumber,NumberPurchased
0,3180,36
1,3737,33
2,3050,33
3,2051,33
4,2625,31
5,3915,31
6,2433,31
7,2271,31
8,3872,30
9,3289,29
10,4875,29
11,2851,29
12,2394,29
13,4338,28
14,1379,28
15,3308,28
16,4831,28
17,2524,28
18,1052,27
19,2193,27
20,1410,27
21,4272,27
22,3752,27
23,1998,27
24,2517,27
25,2663,27
26,4695,26
27,4376,26
28,4486,26
29,3082,26
30,1905,26
31,2512,26
32,4137,26
33,4941,26
34,2960,26
35,1265,25
36,1870,25
37,2440,25
38,4864,25
39,1366,25
40,3462,25
41,1793,25
42,4303,25
43,4217,25
44,2344,25
45,2164,25
46,1098,24
47,2632,24
48,3120,24
49,2070,24
50,3957,24
51,2184,24
52,2560,24
53,1116,24
54,2816,24
55,1275,24
56,4828,24
57,3247,24
58,3122,24
59,2990,24
60,2760,23
61,3497,23
62,3942,23
63,1654,23
64,4277,23
65,2294,23
66,2789,23
67,3484,23
68,3783,23
69,4437,23
70,1395,23
71,1466,23
72,1827,23
73,4495,23
74,4753,23
75,3960,23
76,3221,23
77,2022,23
78,2855,23
79,4297,23
80,3593,23
81,1574,23
82,2706,23
83,2736,23
84,1407,23
85,1991,23
86,3046,23
87,3691,23
88,3830,23
89,4251,22
90,3090,22
91,4524,22
92,3465,22
93,3246,22
94,4671,22
95,4364,22
96,3361,22
97,3517,22
98,3543,22
99,4153,22
100,3042,22
101,1595,22
102,3266,22
103,2229,22
104,4293,22
105,1948,22
106,3495,22
107,2779,22
108,1887,22
109,2270,22
110,4679,22
111,4624,22
112,3251,21
113,2234,21
114,1087,21
115,1353,21
116,3709,21
117,4494,21
118,4656,21
119,1878,21
120,4585,21
121,1004,21
122,4933,21
123,1780,21
124,3402,21
125,4877,21
126,2443,21
127,2799,21
128,2918,21
129,1997,21
130,1218,21
131,3164,21
132,4683,21
133,3862,21
134,2421,21
135,3761,21
136,4783,21
137,1169,21
138,3679,21
139,2738,21
140,2447,21
141,3248,21
142,1737,21
143,3811,21
144,2252,21
145,4574,21
146,2492,21
147,2408,21
148,1929,21
149,3635,21
150,1583,21
151,3651,21
152,4187,21
153,3835,21
154,1566,21
155,4190,21
156,2868,21
157,3732,21
158,4588,21
159,1225,21
160,2511,21
161,1170,20
162,4694,20
163,1908,20
164,1682,20
165,4509,20
166,4165,20
167,1245,20
168,4645,20
169,4234,20
170,1107,20
171,4780,20
172,1943,20
173,2357,20
174,2758,20
175,4657,20
176,1932,20
177,3812,20
178,1482,20
179,2086,20
180,4030,20
181,1146,20
182,4178,20
183,4526,20
184,2298,20
185,4302,20
186,1572,20
187,1561,20
188,1051,20
189,3549,20
190,4292,20
191,2454,20
192,2584,20
193,1768,20
194,1483,20
195,1092,20
196,2961,20
197,4628,20
198,1444,20
199,3581,20
200,3393,20
201,2718,20
202,4852,20
203,3657,20
204,1094,20
205,1777,20
206,4666,20
207,1785,20
208,1237,20
209,4316,20
