,MemberNumber,NumberPurchased
0,3050,29
1,2433,28
2,2051,26
3,3752,25
4,4831,24
5,3180,24
6,4486,24
7,3872,23
8,3497,23
9,4875,23
10,2625,23
11,2512,22
12,1366,21
13,3691,21
14,2270,20
15,1098,20
16,3543,20
17,2184,20
18,3635,19
19,2560,19
20,3547,19
21,4864,19
22,3915,19
23,2517,19
24,2918,19
25,4524,19
26,3289,19
27,3679,19
28,2234,19
29,4102,19
30,3737,19
31,3504,19
32,1780,19
33,1997,19
34,2271,18
35,1905,18
36,4293,18
37,1265,18
38,2394,18
39,3245,18
40,2344,18
41,1777,18
42,2632,18
43,1092,18
44,1943,18
45,2816,18
46,2171,18
47,2229,18
48,4303,18
49,4495,18
50,1395,18
51,3709,17
52,3046,17
53,3687,17
54,3036,17
55,1737,17
56,4776,17
57,1038,17
58,3128,17
59,2370,17
60,3120,17
61,4585,17
62,2494,17
63,2851,17
64,1407,17
65,1793,17
66,3048,17
67,2601,17
68,1934,17
69,2022,17
70,4695,17
71,4437,17
72,3165,16
73,1482,16
74,3405,16
75,3741,16
76,2799,16
77,3495,16
78,3581,16
79,1183,16
80,3429,16
81,4030,16
82,4338,16
83,4277,16
84,2978,16
85,2960,16
86,3042,16
87,1245,16
88,1768,16
89,3054,16
90,3803,16
91,2874,16
92,1379,16
93,3460,16
94,3651,16
95,4783,16
96,2210,16
97,1583,16
98,4877,16
99,3922,16
100,2492,16
101,3783,15
102,2690,15
103,2421,15
104,4778,15
105,2663,15
106,3014,15
107,3214,15
108,3822,15
109,1959,15
110,2599,15
111,1444,15
112,4742,15
113,4417,15
114,3593,15
115,2186,15
116,2448,15
117,2736,15
118,2524,15
119,3308,15
120,2568,15
121,2613,15
122,3002,15
123,1242,15
124,3500,15
125,3558,15
126,1120,15
127,1565,15
128,4240,15
129,4456,15
130,4753,15
131,1785,15
132,1220,15
133,4170,15
134,1567,15
135,1819,15
136,2294,15
137,1634,15
138,1422,15
139,2408,14
140,1218,14
141,2454,14
142,2193,14
143,3251,14
144,4953,14
145,4643,14
146,1584,14
147,3296,14
148,1081,14
149,1148,14
150,1264,14
151,2265,14
152,4662,14
153,3926,14
154,1708,14
155,4302,14
156,3960,14
157,4572,14
158,1275,14
159,4217,14
160,1324,14
161,4836,14
162,2563,14
163,3732,14
164,3812,14
165,2600,14
166,3484,14
167,3481,14
168,4321,14
169,3262,14
170,2997,14
171,1116,14
172,4588,14
173,2070,14
174,4828,14
175,2779,14
176,4688,14
177,3337,14
178,3719,14
179,1170,14
180,1608,13
181,3688,13
182,2840,13
183,2855,13
184,4780,13
185,1603,13
186,3072,13
187,2706,13
188,2707,13
189,3051,13
190,1353,13
191,2867,13
192,3637,13
193,3483,13
194,4537,13
195,1452,13
196,3077,13
197,4666,13
198,3380,13
199,1277,13
200,3999,13
201,3358,13
202,2440,13
203,1649,13
204,4988,13
205,2142,13
206,3677,13
207,1711,13
208,1595,13
209,1283,13
210,2694,13
211,1654,13
212,3031,13
213,4215,13
214,3519,13
215,2990,13
216,1213,13
217,2447,13
218,2117,13
219,4352,13
220,4308,13
221,3718,13
222,4223,13
223,2654,13
224,2961,13
225,2348,13
226,1233,13
227,1734,13
228,3365,13
229,2659,13
230,3255,13
231,3818,13
232,4187,13
233,2019,13
234,3393,13
235,3682,13
236,1534,13
237,2164,13
238,2211,13
239,1051,13
240,4207,13
241,1757,13
242,4251,13
243,3985,13
244,4320,13
245,2077,13
246,3562,13
247,4197,13
248,2745,13
249,3276,13
250,2650,13
251,4757,13
252,1656,12
253,4825,12
254,4326,12
255,4576,12
256,3878,12
257,2523,12
258,1373,12
259,2622,12
260,4328,12
261,1052,12
262,4820,12
263,2582,12
264,1239,12
265,1322,12
266,1998,12
267,1901,12
268,3774,12
269,4999,12
270,4708,12
271,4700,12
272,2738,12
273,2787,12
274,4267,12
275,3122,12
276,4941,12
277,1827,12
278,2811,12
279,4852,12
280,4038,12
281,2092,12
282,2251,12
283,1347,12
284,1456,12
285,1404,12
286,3911,12
287,3472,12
288,1884,12
289,1216,12
290,3071,12
291,4827,12
292,1144,12
293,2592,12
294,2729,12
295,3690,12
296,1486,12
297,2814,12
298,2810,12
299,3465,12
300,2340,12
301,3247,12
302,1477,12
303,4550,12
304,4178,12
305,4679,12
306,3361,12
307,3322,12
308,1175,12
309,4633,12
310,4509,12
311,1225,12
312,2629,12
313,3574,12
314,4693,12
315,1231,12
316,2443,12
317,1360,12
318,1197,12
319,4012,12
320,1776,12
321,1438,12
322,4671,12
323,1994,12
324,2386,12
325,3924,12
326,4301,12
327,1090,12
328,2356,12
329,3899,12
330,2513,12
331,3402,12
332,1406,12
333,4555,12
334,2380,12
335,1008,12
336,3469,12
337,4592,12
338,1430,12
339,1846,12
340,2001,12
341,1509,12
342,4760,12
343,2364,12
344,1703,11
345,4895,11
346,1894,11
347,2321,11
348,4220,11
349,4946,11
350,3983,11
351,4035,11
352,1016,11
353,1929,11
354,4441,11
355,2391,11
356,3621,11
357,4841,11
358,3862,11
359,2107,11
360,4499,11
361,4335,11
362,4589,11
363,1276,11
364,1892,11
365,3450,11
366,2311,11
367,3588,11
368,3950,11
369,2689,11
370,2813,11
371,1332,11
372,1515,11
373,2957,11
374,4843,11
375,1729,11
376,2678,11
377,1733,11
378,1076,11
379,2346,11
380,4295,11
381,2128,11
382,4939,11
383,1968,11
384,4336,11
385,2502,11
386,4353,11
387,2868,11
388,2800,11
389,1832,11
390,3835,11
391,1870,11
392,2422,11
393,1385,11
394,4190,11
395,2789,11
396,1948,11
397,4766,11
398,1949,11
399,3201,11
400,4503,11
401,3082,11
402,4699,11
403,3328,11
404,4166,11
405,2202,11
406,1279,11
407,4019,11
408,3957,11
409,1206,11
410,3620,11
411,2426,11
412,2792,11
413,4718,11
414,2932,11
415,2100,11
416,4598,11
417,1866,11
418,4694,11
419,2469,11
420,4292,11
421,2267,11
422,1160,11
423,3794,11
424,3044,11
425,2465,11
426,2406,11
427,2760,11
428,2061,11
429,3595,11
430,2101,11
431,4734,11
432,4222,11
433,3438,11
434,3399,11
435,2794,11
436,4804,11
437,2743,11
438,2578,11
439,1199,11
440,1290,11
441,3354,11
442,1967,11
443,1715,11
444,3811,11
445,4351,11
446,3430,11
447,2459,11
448,3973,11
449,3903,11
450,1551,11
451,2086,11
452,1363,11
453,3353,11
454,2910,11
455,1326,11
456,1697,11
457,3462,11
458,4636,11
459,2415,10
460,4719,10
461,4153,10
462,3178,10
463,3507,10
464,4006,10
465,4937,10
466,1837,10
467,2633,10
468,3633,10
469,2238,10
470,1287,10
471,4104,10
472,1340,10
473,1032,10
474,2876,10
475,2467,10
476,3266,10
477,4657,10
478,3738,10
479,4455,10
480,3517,10
481,2711,10
482,3535,10
483,1540,10
484,4042,10
485,4364,10
486,1787,10
487,4004,10
488,4470,10
489,3509,10
490,1800,10
491,3962,10
492,1527,10
493,3757,10
494,4433,10
495,4593,10
496,2580,10
497,2687,10
498,1296,10
499,3419,10
500,3819,10
501,3744,10
502,4068,10
503,4892,10
504,2507,10
505,2201,10
506,3175,10
507,2129,10
508,2043,10
509,4323,10
510,2986,10
511,3963,10
512,3886,10
513,3579,10
514,4389,10
515,1932,10
516,4473,10
517,4152,10
518,3363,10
519,1118,10
520,3894,10
521,3111,10
522,1305,10
523,4678,10
524,2691,10
525,2636,10
526,1783,10
527,3608,10
528,3164,10
529,2327,10
530,1355,10
531,4286,10
532,3170,10
533,2672,10
534,2977,10
535,3347,10
536,3182,10
537,2652,10
