Date,Transactions
2014-01-01,21
2014-01-02,25
2014-01-03,21
2014-01-04,17
2014-01-05,24
2014-01-06,23
2014-01-07,27
2014-01-08,22
2014-01-09,21
2014-01-10,12
2014-01-11,26
2014-01-12,21
2014-01-13,20
2014-01-14,24
2014-01-15,13
2014-01-16,18
2014-01-17,20
2014-01-18,22
2014-01-19,23
2014-01-20,24
2014-01-21,24
2014-01-22,17
2014-01-23,30
2014-01-24,19
2014-01-25,18
2014-01-26,14
2014-01-27,22
2014-01-28,26
2014-01-29,16
2014-01-30,27
2014-01-31,28
2014-02-01,29
2014-02-02,20
2014-02-03,25
2014-02-04,28
2014-02-05,16
2014-02-06,20
2014-02-07,16
2014-02-08,19
2014-02-09,23
2014-02-10,17
2014-02-11,17
2014-02-12,19
2014-02-13,21
2014-02-14,24
2014-02-15,21
2014-02-16,24
2014-02-17,25
2014-02-18,26
2014-02-19,18
2014-02-20,23
2014-02-21,21
2014-02-22,29
2014-02-23,18
2014-02-24,27
2014-02-25,21
2014-02-26,31
2014-02-27,25
2014-02-28,20
2014-03-01,24
2014-03-02,26
2014-03-03,23
2014-03-04,26
2014-03-05,16
2014-03-06,17
2014-03-07,15
2014-03-08,21
2014-03-09,13
2014-03-10,14
2014-03-11,24
2014-03-12,20
2014-03-13,19
2014-03-14,18
2014-03-15,21
2014-03-16,20
2014-03-17,18
2014-03-18,19
2014-03-19,16
2014-03-20,20
2014-03-21,23
2014-03-22,16
2014-03-23,16
2014-03-24,19
2014-03-25,21
2014-03-26,18
2014-03-27,23
2014-03-28,24
2014-03-29,18
2014-03-30,21
2014-03-31,19
2014-04-01,28
2014-04-02,28
2014-04-03,34
2014-04-04,23
2014-04-05,21
2014-04-06,19
2014-04-07,21
2014-04-08,23
2014-04-09,13
2014-04-10,14
2014-04-11,16
2014-04-12,27
2014-04-13,34
2014-04-14,18
2014-04-15,26
2014-04-16,26
2014-04-17,27
2014-04-18,20
2014-04-19,26
2014-04-20,19
2014-04-21,22
2014-04-22,25
2014-04-23,23
2014-04-24,28
2014-04-25,24
2014-04-26,16
2014-04-27,20
2014-04-28,17
2014-04-29,16
2014-04-30,24
2014-05-01,20
2014-05-02,26
2014-05-03,23
2014-05-04,20
2014-05-05,17
2014-05-06,21
2014-05-07,20
2014-05-08,29
2014-05-09,27
2014-05-10,18
2014-05-11,19
2014-05-12,21
2014-05-13,25
2014-05-14,21
2014-05-15,27
2014-05-16,13
2014-05-17,21
2014-05-18,24
2014-05-19,25
2014-05-20,24
2014-05-21,16
2014-05-22,18
2014-05-23,25
2014-05-24,20
2014-05-25,27
2014-05-26,24
2014-05-27,22
2014-05-28,24
2014-05-29,30
2014-05-30,35
2014-05-31,29
2014-06-01,13
2014-06-02,26
2014-06-03,27
2014-06-04,20
2014-06-05,18
2014-06-06,31
2014-06-07,29
2014-06-08,23
2014-06-09,20
2014-06-10,24
2014-06-11,23
2014-06-12,20
2014-06-13,30
2014-06-14,27
2014-06-15,17
2014-06-16,22
2014-06-17,15
2014-06-18,18
2014-06-19,26
2014-06-20,25
2014-06-21,22
2014-06-22,29
2014-06-23,18
2014-06-24,23
2014-06-25,23
2014-06-26,29
2014-06-27,24
2014-06-28,20
2014-06-29,12
2014-06-30,20
2014-07-01,16
2014-07-02,27
2014-07-03,16
2014-07-04,10
2014-07-05,24
2014-07-06,22
2014-07-07,33
2014-07-08,19
2014-07-09,24
2014-07-10,21
2014-07-11,18
2014-07-12,29
2014-07-13,27
2014-07-14,21
2014-07-15,21
2014-07-16,17
2014-07-17,25
2014-07-18,23
2014-07-19,16
2014-07-20,23
2014-07-21,27
2014-07-22,26
2014-07-23,24
2014-07-24,15
2014-07-25,18
2014-07-26,27
2014-07-27,21
2014-07-28,23
2014-07-29,20
2014-07-30,22
2014-07-31,25
2014-08-01,19
2014-08-02,30
2014-08-03,22
2014-08-04,22
2014-08-05,22
2014-08-06,16
2014-08-07,23
2014-08-08,16
2014-08-09,19
2014-08-10,28
2014-08-11,30
2014-08-12,20
2014-08-13,21
2014-08-14,27
2014-08-15,18
2014-08-16,28
2014-08-17,26
2014-08-18,18
2014-08-19,21
2014-08-20,21
2014-08-21,23
2014-08-22,23
2014-08-23,17
2014-08-24,20
2014-08-25,22
2014-08-26,25
2014-08-27,20
2014-08-28,39
2014-08-29,16
2014-08-30,17
2014-08-31,21
2014-09-01,28
2014-09-02,27
2014-09-03,24
2014-09-04,29
2014-09-05,23
2014-09-06,27
2014-09-07,30
2014-09-08,18
2014-09-09,20
2014-09-10,22
2014-09-11,23
2014-09-12,20
2014-09-13,20
2014-09-14,18
2014-09-15,12
2014-09-16,21
2014-09-17,16
2014-09-18,18
2014-09-19,17
2014-09-20,22
2014-09-21,32
2014-09-22,16
2014-09-23,13
2014-09-24,29
2014-09-25,19
2014-09-26,26
2014-09-27,18
2014-09-28,24
2014-09-29,16
2014-09-30,23
2014-10-01,23
2014-10-02,18
2014-10-03,19
2014-10-04,19
2014-10-05,19
2014-10-06,19
2014-10-07,22
2014-10-08,21
2014-10-09,22
2014-10-10,21
2014-10-11,28
2014-10-12,24
2014-10-13,28
2014-10-14,27
2014-10-15,16
2014-10-16,18
2014-10-17,21
2014-10-18,24
2014-10-19,24
2014-10-20,21
2014-10-21,17
2014-10-22,28
2014-10-23,23
2014-10-24,17
2014-10-25,22
2014-10-26,23
2014-10-27,36
2014-10-28,18
2014-10-29,22
2014-10-30,31
2014-10-31,26
2014-11-01,15
2014-11-02,21
2014-11-03,20
2014-11-04,16
2014-11-05,35
2014-11-06,13
2014-11-07,31
2014-11-08,21
2014-11-09,19
2014-11-10,30
2014-11-11,21
2014-11-12,15
2014-11-13,28
2014-11-14,23
2014-11-15,24
2014-11-16,16
2014-11-17,18
2014-11-18,19
2014-11-19,21
2014-11-20,27
2014-11-21,21
2014-11-22,30
2014-11-23,15
2014-11-24,20
2014-11-25,17
2014-11-26,25
2014-11-27,25
2014-11-28,20
2014-11-29,21
2014-11-30,20
2014-12-01,18
2014-12-02,23
2014-12-03,27
2014-12-04,16
2014-12-05,17
2014-12-06,25
2014-12-07,12
2014-12-08,18
2014-12-09,15
2014-12-10,31
2014-12-11,26
2014-12-12,22
2014-12-13,25
2014-12-14,25
2014-12-15,22
2014-12-16,30
2014-12-17,22
2014-12-18,25
2014-12-19,28
2014-12-20,16
2014-12-21,18
2014-12-22,18
2014-12-23,28
2014-12-24,24
2014-12-25,25
2014-12-26,28
2014-12-27,18
2014-12-28,16
2014-12-29,19
2014-12-30,20
2014-12-31,0
2015-01-01,16
2015-01-02,13
2015-01-03,20
2015-01-04,21
2015-01-05,22
2015-01-06,20
2015-01-07,21
2015-01-08,19
2015-01-09,20
2015-01-10,14
2015-01-11,24
2015-01-12,14
2015-01-13,18
2015-01-14,22
2015-01-15,15
2015-01-16,19
2015-01-17,18
2015-01-18,22
2015-01-19,17
2015-01-20,15
2015-01-21,34
2015-01-22,25
2015-01-23,19
2015-01-24,20
2015-01-25,25
2015-01-26,22
2015-01-27,27
2015-01-28,25
2015-01-29,15
2015-01-30,13
2015-01-31,27
2015-02-01,20
2015-02-02,11
2015-02-03,25
2015-02-04,13
2015-02-05,23
2015-02-06,19
2015-02-07,17
2015-02-08,17
2015-02-09,20
2015-02-10,27
2015-02-11,21
2015-02-12,26
2015-02-13,14
2015-02-14,23
2015-02-15,22
2015-02-16,15
2015-02-17,19
2015-02-18,24
2015-02-19,13
2015-02-20,18
2015-02-21,14
2015-02-22,14
2015-02-23,26
2015-02-24,21
2015-02-25,20
2015-02-26,25
2015-02-27,19
2015-02-28,20
2015-03-01,28
2015-03-02,23
2015-03-03,14
2015-03-04,16
2015-03-05,23
2015-03-06,22
2015-03-07,15
2015-03-08,21
2015-03-09,18
2015-03-10,16
2015-03-11,16
2015-03-12,14
2015-03-13,24
2015-03-14,20
2015-03-15,17
2015-03-16,9
2015-03-17,11
2015-03-18,21
2015-03-19,20
2015-03-20,27
2015-03-21,18
2015-03-22,21
2015-03-23,17
2015-03-24,17
2015-03-25,17
2015-03-26,26
2015-03-27,16
2015-03-28,14
2015-03-29,21
2015-03-30,16
2015-03-31,15
2015-04-01,29
2015-04-02,16
2015-04-03,19
2015-04-04,20
2015-04-05,14
2015-04-06,16
2015-04-07,22
2015-04-08,21
2015-04-09,18
2015-04-10,21
2015-04-11,26
2015-04-12,13
2015-04-13,19
2015-04-14,13
2015-04-15,18
2015-04-16,16
2015-04-17,13
2015-04-18,23
2015-04-19,21
2015-04-20,18
2015-04-21,20
2015-04-22,20
2015-04-23,12
2015-04-24,16
2015-04-25,17
2015-04-26,22
2015-04-27,16
2015-04-28,22
2015-04-29,17
2015-04-30,28
2015-05-01,21
2015-05-02,28
2015-05-03,15
2015-05-04,18
2015-05-05,20
2015-05-06,15
2015-05-07,18
2015-05-08,27
2015-05-09,16
2015-05-10,21
2015-05-11,27
2015-05-12,17
2015-05-13,15
2015-05-14,20
2015-05-15,26
2015-05-16,25
2015-05-17,22
2015-05-18,25
2015-05-19,24
2015-05-20,13
2015-05-21,20
2015-05-22,22
2015-05-23,15
2015-05-24,22
2015-05-25,12
2015-05-26,19
2015-05-27,22
2015-05-28,20
2015-05-29,21
2015-05-30,16
2015-05-31,15
2015-06-01,14
2015-06-02,16
2015-06-03,10
2015-06-04,13
2015-06-05,19
2015-06-06,28
2015-06-07,14
2015-06-08,24
2015-06-09,13
2015-06-10,14
2015-06-11,17
2015-06-12,23
2015-06-13,23
2015-06-14,23
2015-06-15,21
2015-06-16,20
2015-06-17,18
2015-06-18,20
2015-06-19,29
2015-06-20,19
2015-06-21,25
2015-06-22,18
2015-06-23,21
